date, log_price, log_d
1927, 0.28667, -2.72634249608957
1928, 0.577140182059416, -2.62580627250328
1929, 0.375764237967902, -2.88253412936172
1930, -0.0120402411677513, -3.05229059786414
1931, -0.660154784419003, -3.42038309099078
1932, -0.811754720161701, -3.45345246454848
1933, -0.400223382220899, -3.54506119268008
1934, -0.409853604314343, -3.58404581903171
1935, -0.0762669555716171, -3.24822321911557
1936, 0.160242078419474, -2.95272397404929
1937, -0.319399850366263, -3.19356611998888
1938, -0.112174321206167, -3.23633942795516
1939, -0.141580475099064, -3.16103314748674
1940, -0.277982269101096, -3.09035282978978
1941, -0.453648422308209, -3.07954676357745
1942, -0.367008447613207, -3.02131948023852
1943, -0.171458111572912, -3.12045358320581
1944, -0.0275707772970974, -3.00361001915219
1945, 0.261681062425093, -2.92499736206696
1946, 0.15448330451528, -3.02333456494765
1947, 0.131388664486408, -2.73216140745326
1948, 0.0897976243263468, -2.64840998693952
1949, 0.204236407532329, -2.43778273334538
1950, 0.400975201372266, -2.23412259063902
1951, 0.534321826928405, -2.3051518501681
1952, 0.605725789397995, -2.29067238690838
1953, 0.554145085291175, -2.31089959884303
1954, 0.914358959821556, -2.09822445998448
1955, 1.10004152874769, -2.07947511644936
1956, 1.14285673549998, -2.06833131394741
1957, 0.991234689315626, -2.14850914029341
1958, 1.32245314898829, -1.90746162172677
1959, 1.40926550617479, -2.00819257672292
1960, 1.38711089513203, -1.97212924819118
1961, 1.59667222425296, -1.92420922012745
1962, 1.45405626303781, -1.91687672025587
1963, 1.61191178573721, -1.81930214713014
1964, 1.73279312779256, -1.75352277748142
1965, 1.83709818665177, -1.65095734026588
1966, 1.71287420254999, -1.67179577046576
1967, 1.93382254615789, -1.5466413417849
1968, 2.03746969484047, -1.49330821753077
1969, 1.89231674707366, -1.58382587994994
1970, 1.85765180063806, -1.46602231478659
1971, 1.97822737796236, -1.52837129505319
1972, 2.11149873678102, -1.50052081871835
1973, 1.87353084590751, -1.60606829919717
1974, 1.50157981441626, -1.59380633825919
1975, 1.77783257035457, -1.39157782043403
1976, 1.97598974593425, -1.24755511010704
1977, 1.9001977412087, -1.16541590816706
1978, 1.93256908938661, -1.04584953056724
1979, 2.10050855121848, -0.860597920896381
1980, 2.34052495202207, -0.694374860927669
1981, 2.25325972463333, -0.789859341825149
1982, 2.38643480378575, -0.531142503091997
1983, 2.55099709419893, -0.657878655775131
1984, 2.53944360898024, -0.593072787868025
1985, 2.77421133701044, -0.46637940528392
1986, 2.88564805510424, -0.502929395989736
1987, 2.87198108610012, -0.560034271497458
1988, 2.99401197572525, -0.21225458604527
1989, 3.20933784846593, -0.128304449938195
1990, 3.11075873150373, -0.200698481863427
1991, 3.37029978368596, -0.10559527582096
1992, 3.42967185668465, -0.153879122391426
1993, 3.51400105651761, -0.149385051451567
1994, 3.48061592319915, -0.16449251804391
1995, 3.76208951284432, 0.0272827871164645
1996, 3.93411322841037, 0.0364630833632632
1997, 4.18243005726484, 0.101686677253362
1998, 4.36893037088022, 0.14137978610046
1999, 4.58117555009213, 0.246062869724878
2000, 4.45172154788763, -0.0428716916656476
2001, 4.318794544012, 0.0114724040133299
2002, 4.06897970507047, -0.0487770696922955
2003, 4.33734133395681, 0.320732339149178
2004, 4.44026698774287, 0.497778515257921
2005, 4.49266966653592, 0.490957397528707
2006, 4.6241460741243, 0.65890315907354
2007, 4.6756439975739, 0.714170970313457
2008, 4.1693182342328, 0.428148255857622
2009, 4.419269622886, 0.732845944479506
2010, 4.56256358121216, 0.724412337085525
2011, 4.53272170891007, 0.66955858161978
2012, 4.65596005946264, 0.979037262844822
2013, 4.90968868234035, 1.07855042117071
2014, 4.99183809243411, 1.12328459833636
2015, 4.95406768707587, 1.13198050098665
